bug,status,path
Chart_14,match,source/org/jfree/chart/plot/CategoryPlot.java
Chart_14,match,source/org/jfree/chart/plot/XYPlot.java
Chart_15,miss,source/org/jfree/chart/plot/PiePlot3D.java
Chart_16,match,source/org/jfree/data/category/DefaultIntervalCategoryDataset.java
Chart_18,match,source/org/jfree/data/DefaultKeyedValues.java
Chart_18,match,source/org/jfree/data/DefaultKeyedValues2D.java
Chart_19,match,source/org/jfree/chart/plot/CategoryPlot.java
Chart_2,match,source/org/jfree/data/general/DatasetUtilities.java
Chart_21,match,source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java
Chart_22,match,source/org/jfree/data/KeyedObjects2D.java
Chart_25,match,source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java
Chart_4,match,source/org/jfree/chart/plot/XYPlot.java
Cli_1,match,src/java/org/apache/commons/cli/CommandLine.java
Cli_10,miss,src/java/org/apache/commons/cli/Options.java
Cli_13,match,src/java/org/apache/commons/cli2/WriteableCommandLine.java
Cli_13,match,src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java
Cli_13,match,src/java/org/apache/commons/cli2/option/ArgumentImpl.java
Cli_14,match,src/java/org/apache/commons/cli2/option/GroupImpl.java
Cli_16,match,src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java
Cli_18,match,src/java/org/apache/commons/cli/PosixParser.java
Cli_21,miss,src/java/org/apache/commons/cli2/option/ArgumentImpl.java
Cli_22,match,src/java/org/apache/commons/cli/PosixParser.java
Cli_23,match,src/java/org/apache/commons/cli/HelpFormatter.java
Cli_26,match,src/java/org/apache/commons/cli/OptionBuilder.java
Cli_30,match,src/main/java/org/apache/commons/cli/DefaultParser.java
Cli_30,match,src/main/java/org/apache/commons/cli/Parser.java
Cli_31,match,src/main/java/org/apache/commons/cli/HelpFormatter.java
Cli_31,match,src/main/java/org/apache/commons/cli/Option.java
Cli_31,match,src/main/java/org/apache/commons/cli/OptionBuilder.java
Cli_33,match,src/main/java/org/apache/commons/cli/HelpFormatter.java
Cli_34,match,src/main/java/org/apache/commons/cli/Option.java
Cli_34,match,src/main/java/org/apache/commons/cli/OptionBuilder.java
Cli_34,miss,src/main/java/org/apache/commons/cli/CommandLine.java
Cli_36,match,src/main/java/org/apache/commons/cli/OptionGroup.java
Cli_39,match,src/main/java/org/apache/commons/cli/TypeHandler.java
Cli_7,match,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
Closure_100,match,src/com/google/javascript/jscomp/CheckGlobalThis.java
Closure_103,match,src/com/google/javascript/jscomp/ControlFlowAnalysis.java
Closure_103,match,src/com/google/javascript/jscomp/DisambiguateProperties.java
Closure_105,match,src/com/google/javascript/jscomp/FoldConstants.java
Closure_106,match,src/com/google/javascript/jscomp/GlobalNamespace.java
Closure_106,miss,src/com/google/javascript/jscomp/CheckSideEffects.java
Closure_106,miss,src/com/google/javascript/jscomp/CollapseProperties.java
Closure_108,match,src/com/google/javascript/jscomp/ScopedAliases.java
Closure_110,match,src/com/google/javascript/jscomp/ScopedAliases.java
Closure_115,match,src/com/google/javascript/jscomp/FunctionInjector.java
Closure_116,match,src/com/google/javascript/jscomp/FunctionInjector.java
Closure_116,miss,src/com/google/javascript/jscomp/ExpressionDecomposer.java
